sample	sample_size	mean	stdev
SERC_517_10	8452596	 182.723	 357.734
SERC_517_11	5336280	 203.532	 182.989
SERC_517_12	10070264	 204.996	 555.848
SERC_517_13	9699188	 176.601	 195.236
SERC_517_3	16058211	 208.801	 299.586
SERC_517_4	12285306	 212.161	 1346.25
SERC_517_5	7387176	 173.224	 156.293
SERC_517_6	12173030	 179.353	 164.705
SERC_517_7	11241307	 192.033	 341.561
SERC_517_8	9949909	 205.003	 362.416
SERC_517_9	3765486	 196.023	 561.821
SERC_Zymo_Pos_Control	9263146	 239.343	 1693.73
CB_Zymo_Cellular_Ctrl	7546982	 175.783	 243.518
CB_Zymo_DNA_Ctrl	2244202	 246.792	 335.919
SERC_051717_Sample11	6060119	 135.336	 120.567
