 SERC_517_10	SERC_517_10_1.fastq	SERC_517_10_2.fastq
 SERC_517_11	SERC_517_11_1.fastq	SERC_517_11_2.fastq
 SERC_517_12	SERC_517_12_1.fastq	SERC_517_12_2.fastq
 SERC_517_13	SERC_517_13_1.fastq	SERC_517_13_2.fastq
 SERC_517_3	SERC_517_3_1.fastq	SERC_517_3_2.fastq
 SERC_517_4	SERC_517_4_1.fastq	SERC_517_4_2.fastq
 SERC_517_5	SERC_517_5_1.fastq	SERC_517_5_2.fastq
 SERC_517_6	SERC_517_6_1.fastq	SERC_517_6_2.fastq
 SERC_517_7	SERC_517_7_1.fastq	SERC_517_7_2.fastq
 SERC_517_8	SERC_517_8_1.fastq	SERC_517_8_2.fastq
 SERC_517_9	SERC_517_9_1.fastq	SERC_517_9_2.fastq
 Zymo_Pos_Control	Zymo_Pos_Control_1.fastq	Zymo_Pos_Control_2.fastq
