acc	genome_len	SERC_517_3	SERC_517_4	SERC_517_5	SERC_517_6	SERC_517_7	SERC_517_8	SERC_517_9	SERC_517_10	SERC_517_11	SERC_517_12	SERC_517_13	SERC_Zymo_Pos_Control	Exp Mean
HQ317389.1	45728	0.128083488	0.101294541	0.047082792	0.099829501	0.105690125	0.091082017	0.044502256	0.078398363	0.042993376	0.088917106	0.087801812	0.007785168	0.083243216
HQ634188.1	45730	0.136059516	0.094445643	0.053378544	0.098075633	0.092105802	0.085786103	0.037459023	0.081653243	0.050841932	0.100043673	0.088366528	0.010802535	0.083474149
HQ317388.1	44892	0.253764942	0.234318049	0.129822715	0.219860943	0.237458846	0.227122873	0.131092426	0.20633963	0.136148964	0.235320523	0.237637013	0.014033685	0.204444266
NC_021865.1	41294	0.093936186	0.081803666	0.041531421	0.083716727	0.079188211	0.081658305	0.033685312	0.059790748	0.039594119	0.070954616	0.080011629	0.010679513	0.067806449
NC_020479.1	49425	0.102174977	0.085705556	0.040607006	0.076863901	0.074233718	0.078320737	0.037713713	0.067475992	0.038624148	0.077551894	0.070227684	0.011107741	0.068136302
NC_021857.1	41475	0.141748039	0.10090415	0.061506974	0.118649804	0.096202522	0.088438892	0.041784197	0.086389299	0.050271234	0.095503261	0.0843159	0.093405653	0.087792207
NC_021772.1	72394	0.125424763	0.110561604	0.046578446	0.102370301	0.093930487	0.100616097	0.044520244	0.085228143	0.044699858	0.098309298	0.099082877	0.015954361	0.086483829
NC_021782.1	72098	0.124691331	0.106410711	0.052137401	0.105176331	0.108754744	0.097949941	0.043329922	0.091944312	0.04750481	0.092249494	0.096646211	0.014535763	0.087890473
NC_022518.1	9472	0.148015235	0.14189197	0.077808271	0.112753489	0.10895263	0.140519381	0.05669344	0.117398636	0.079708581	0.115709474	0.124999948	0.010979732	0.111313732
NC_022230.1	6398	0.085495506	0.082525814	0.051734928	0.120975234	0.07127227	0.093154101	0.04985932	0.10581436	0.041262896	0.107846239	0.077680552	0.02391373	0.080692838
NC_021203.1	2539	0.200472858	0.142181976	0.06774322	0.107916542	0.096888632	0.114612056	0.092556148	0.096494706	0.087829822	0.170145588	0.144545018	0.00787712	0.120126051
NC_021204.1	2495	0.087374732	0.078957903	0.0400802	0.102204392	0.07815636	0.05571146	0.03166333	0.07855721	0.03046093	0.0729459	0.06252506	0.00761523	0.06533068
NC_020896.1	10081	0.143339009	0.113480799	0.066461649	0.124194077	0.109016976	0.118143021	0.047217557	0.115365549	0.040472196	0.091260767	0.110108156	0.01517705	0.098096341
NC_018863.1	162596	0.124406491	0.096988838	0.051464967	0.102345625	0.096816595	0.096213986	0.043561946	0.085986122	0.049090969	0.088661396	0.103182134	0.016851576	0.085338097
NC_022091.1	42874	0.125134168	0.092550266	0.049587169	0.064351323	0.07715633	0.065797497	0.035709269	0.079045561	0.031277672	0.080515011	0.061295865	0.019918841	0.069310921
NC_022580.1	12676	0.136951665	0.121252702	0.070369276	0.110444896	0.107368221	0.114862764	0.046465783	0.096402608	0.054275744	0.104922755	0.117544966	0.01356897	0.098260126
NC_022581.1	11806	0.124428228	0.122226043	0.04031851	0.114518053	0.093935285	0.107995918	0.058021314	0.097492718	0.052854516	0.101389099	0.13899718	0.010418434	0.095652442
NC_019782.1	36566	0.22876454	0.203057274	0.094705551	0.180276496	0.179729776	0.182874917	0.101214268	0.160558989	0.103101314	0.189027784	0.18878156	0.02606246	0.164735679
NC_022249.1	6795	0.126122174	0.048712248	0.02560704	0.074613767	0.07034588	0.08373802	0.0228109	0.060338464	0.03105227	0.10345843	0.088888888	0.00868285	0.066880735
NC_008305.1	2602	0.08608768	0.0591852	0.02959258	0.0718678	0.05956958	0.03151424	0.03036122	0.05265178	0.01498848	0.08224442	0.04458108	0.02997696	0.05114946
NC_021923.1	140633	0.202427429	0.172846963	0.097494874	0.167002133	0.158270072	0.15029893	0.079661316	0.141168888	0.092780524	0.151315835	0.169789484	0.02089837	0.143914223
NC_021801.1	42902	0.084681425	0.073260012	0.038016853	0.076266869	0.071488529	0.068341716	0.035382988	0.062654401	0.040091342	0.061279174	0.073726162	0.090578525	0.062289952
NC_018872.2	9512	0.137405421	0.113961404	0.051198531	0.09924307	0.119428076	0.095037881	0.04268293	0.071278362	0.03458794	0.087678703	0.096509745	0.010407921	0.086273824
NC_020077.1	76107	0.199035829	0.175699854	0.089637029	0.164084719	0.162284702	0.162429231	0.086417888	0.14906647	0.086759429	0.15719972	0.179313168	0.022323844	0.146538913
NC_022616.1	1936	0.107954566	0.037706615	0.03667351	0.038223166	0.077479359	0.059400799	0.03667358	0.070764519	0.03564049	0.07644632	0.066115725	0.02840909	0.058461695
NC_022617.1	1710	0.20116966	0.16315793	0.04795324	0.180701855	0.12631575	0.15204674	0.069590585	0.130994135	0.0842105	0.070760285	0.130409345	0.037426915	0.12339182
NC_022619.1	17486	0.123470146	0.104540783	0.060391116	0.085725687	0.087727315	0.084010042	0.044092363	0.077776504	0.039746069	0.091559025	0.101681326	0.014640257	0.08188367
NC_022630.1	6296	0.096569244	0.091486667	0.041931423	0.083703908	0.078462574	0.078303666	0.03398983	0.078144846	0.048125841	0.085768694	0.087039394	0.00301779	0.073047826
NC_022631.1	3303	0.122313085	0.10566151	0.0535877	0.058734435	0.068422665	0.10414774	0.04813805	0.09506506	0.03088105	0.096276205	0.05298211	0	0.076019055
NC_019419.2	43457	0.115171373	0.093517768	0.049520244	0.078652466	0.076903644	0.065605047	0.029868653	0.061255998	0.034769972	0.077179755	0.07149596	0.017166401	0.06854008
NC_022647.1	7647	0.110239321	0.09376219	0.04276192	0.06813128	0.101739201	0.075977441	0.0379234	0.06930828	0.0363541	0.0809468	0.069439032	0.00510003	0.071507542
NC_018459.1	4335	0.180161484	0.169780893	0.086505163	0.155940031	0.143944606	0.134717358	0.073125763	0.131257227	0.05420993	0.139100404	0.122260643	0.011072661	0.126454864
NC_018460.1	834	0.1426858	0.1462831	0.0227818	0.10791366	0.16187054	0.06954444	0.0455636	0.09832138	0.0227818	0.0935252	0.1558756	0	0.097013356
NC_018461.1	6861	0.161346677	0.164553266	0.049847006	0.166010792	0.1182044	0.151873002	0.074041676	0.149394938	0.070980891	0.132633713	0.151289931	0.021279712	0.126379663
NC_018462.1	843	0.0462634	0.05100834	0.0711745	0.12099654	0.0225386	0.11743784	0.0225386	0.0462633	0.0676157	0.0688019	0.10557532	0	0.067292185
NC_018463.1	6863	0.168876201	0.11977267	0.08378264	0.151828151	0.135655096	0.123852578	0.059012081	0.107970327	0.08567677	0.125746737	0.135218022	0.020253538	0.117944661
NC_018464.1	927	0.1682852	0.09169359	0.07659115	0.07227615	0.11218984	0.11111104	0.1197411	0.10032364	0.09600853	0.11974109	0.09169362	0.05393745	0.105423177
