acc	genome_len	SERC_517_3	SERC_517_4	SERC_517_5	SERC_517_6	SERC_517_7	SERC_517_8	SERC_517_9	SERC_517_10	SERC_517_11	SERC_517_12	SERC_517_13	SERC_Zymo_Pos_Control	Mean Coverage
HQ317389.1	45728	0.294064383	0.278890563	0.257442492	0.372158915	0.333222392	0.291793239	0.32485745	0.264006631	0.261458439	0.293053625	0.284533666	0.169870609	0.29595289
HQ634188.1	45730	0.282557737	0.250211312	0.262786983	0.346297278	0.312142402	0.286055195	0.246019738	0.29363593	0.298754025	0.3254678	0.276157447	0.165497021	0.289098713
HQ317388.1	44892	0.964772545	1.15290075	1.021250669	1.210560656	1.467952108	1.249081988	1.385389277	1.407263163	1.108092073	1.46016497	1.465423153	0.508182799	1.262986487
NC_021865.1	41294	0.321926257	0.262545926	0.2299508	0.378890877	0.392224154	0.398491448	0.36230501	0.338912625	0.324827709	0.320168584	0.427828992	0.190799935	0.341642944
NC_020479.1	49425	0.335680701	0.333613257	0.352765699	0.339152212	0.392756433	0.365646429	0.32173147	0.371775356	0.333397997	0.35904143	0.3064285	0.375560152	0.346544499
NC_021857.1	41475	0.392513587	0.343271744	1.429029914	0.760859388	0.389661669	0.49678718	0.305338127	0.344909259	0.824782059	0.312213789	0.351079683	2.691211998	0.540949673
NC_021772.1	72394	0.409972775	0.472421707	0.626638882	0.642272557	0.530681805	0.540570011	0.516188723	0.487115956	0.637909686	0.496782573	0.550437175	0.690048403	0.537362896
NC_021782.1	72098	0.425427283	0.472838864	0.770239947	0.657995883	0.544374234	0.570753819	0.42921145	0.521984661	0.712650988	0.439251924	0.47815085	0.438848232	0.547534537
NC_022518.1	9472	0.378849905	0.649086087	0.577958955	0.60561353	0.497054632	0.652795726	0.602337787	0.482000651	0.715606925	0.492290023	0.605588367	0.355981934	0.569016599
NC_022230.1	6398	0.20274901	0.261439632	0.91560636	0.583322449	0.23108853	0.36680202	0.35297986	0.373636236	0.647473383	0.304474863	0.25129649	0.726534401	0.408260803
NC_021203.1	2539	1.150424803	0.808885884	0.253952466	0.727613755	0.840121709	0.689085697	1.248718629	1.079527279	0.42381705	1.049612756	1.022229385	0.017671685	0.844908129
NC_021204.1	2495	0.20078316	0.157380734	0.100167049	0.225650664	0.306193491	0.300256975	0.32933607	0.320607289	0.129660322	0.285808596	0.263366254	0.324599106	0.238110055
NC_020896.1	10081	0.634315075	0.652965809	0.572049387	0.66523973	0.885837852	0.705112699	0.580303964	0.76604743	0.670349872	0.707076813	0.737902772	0.976948281	0.688836491
NC_018863.1	162596	0.400970407	0.415132887	0.342383662	0.420426424	0.524226863	0.429585061	0.463086818	0.466196962	0.385680516	0.453059838	0.478844615	0.56304201	0.43450855
NC_022091.1	42874	0.316472826	0.259360871	0.173357402	0.150423189	0.219604441	0.174218271	0.247582053	0.269106722	0.138518098	0.258024522	0.196073861	0.233268839	0.218431114
NC_022580.1	12676	0.506309901	0.433556571	0.818499166	0.638037498	0.791482689	0.666750268	0.808653925	0.86864439	0.688391795	0.793791388	0.806719414	0.302815741	0.710985182
NC_022581.1	11806	0.345417073	0.514020691	0.145005082	0.304015917	0.447806209	0.384691533	0.635151544	0.569376067	0.3249245	0.535304577	0.547952543	0.463277907	0.432151431
NC_019782.1	36566	0.811342268	0.81870689	0.790362011	1.059000676	1.186043723	1.217587365	1.17537341	1.121094033	1.056574749	1.069061563	1.274546904	1.351138382	1.052699417
NC_022249.1	6795	0.234712864	0.105678017	0.078340362	0.138167532	0.157867498	0.18534187	0.117884027	0.189473372	0.115263663	0.23562831	0.252192754	0.038298273	0.164595479
NC_008305.1	2602	0.171494204	0.091495941	0.09220604	0.191600613	0.17290657	0.102090445	0.235355192	0.24097727	0.177985924	0.231580603	0.1335601	1.589879802	0.167386627
NC_021923.1	140633	0.839381402	0.701774264	0.719932654	1.007477387	1.037746773	0.959824542	0.941539426	1.103472861	1.178980373	0.919813438	1.136857838	0.657968744	0.958800087
NC_021801.1	42902	0.184514362	0.201231125	0.17423456	0.264195536	0.259454732	0.253038505	0.25416611	0.264551892	0.273759814	0.211083159	0.301367484	3.748402962	0.240145207
NC_018872.2	9512	0.32022884	0.261744332	0.252097516	0.254060358	0.374585208	0.370582072	0.414539025	0.28948681	0.158951698	0.307549297	0.358318498	0.744347648	0.305649423
NC_020077.1	76107	0.884405538	0.738542897	0.589089335	0.834392554	1.107539554	0.906471536	0.981535965	1.049010843	0.745739031	0.91482439	1.069538446	0.787866305	0.892826372
NC_022616.1	1936	0.37213824	0.238755967	0.176852272	0.612094307	0.657976605	0.728004828	0.314984642	0.492957474	0.214589526	0.410527343	0.665409719	0.265363262	0.444026447
NC_022617.1	1710	0.998792019	0.625602366	0.111804879	0.851479744	1.2401864	0.537559515	0.997310874	0.893108535	0.358451529	0.577748645	1.028414113	0.317489907	0.74731442
NC_022619.1	17486	0.299729681	0.49434057	0.37296	0.329254157	0.373882339	0.339842488	0.408589678	0.336569539	0.430870586	0.413908271	0.365791359	0.377837877	0.378703515
NC_022630.1	6296	0.285600723	0.321044605	1.150347601	0.467459134	0.350847363	0.459101014	0.189609453	0.307742492	0.733684123	0.293074775	0.286455925	0.00677017	0.440451564
NC_022631.1	3303	0.412394122	0.265844794	0.191428844	0.159635825	0.269749974	0.243585319	0.278499329	0.413866798	0.124747209	0.327621013	0.140890635	0	0.257114897
NC_019419.2	43457	0.335559096	0.293393833	0.270838555	0.245543113	0.269112658	0.254688248	0.204006359	0.261411943	0.265757862	0.236694254	0.233129425	0.458007362	0.260921395
NC_022647.1	7647	0.225942209	0.220254375	0.114385871	0.199341797	0.316895579	0.272528652	0.209499663	0.281861	0.173448446	0.265175439	0.248514927	0.479517545	0.22980436
NC_018459.1	4335	0.714587281	0.920244351	0.316503613	0.504981111	1.138162649	0.647825556	0.960856793	0.962241211	0.199525614	0.772823309	0.680036203	0.402884151	0.710707972
NC_018460.1	834	0.199019607	0.509747426	0.056935479	0.342650151	0.407233307	0.446833935	0.588667798	0.492003757	0.077578538	0.179763071	0.50769699	0	0.346193642
NC_018461.1	6861	0.701572398	0.683735487	0.577529611	0.916330705	1.021796487	0.860554476	0.814237311	0.91691818	0.605268994	0.816345598	0.919304708	0.7425751	0.803053996
NC_018462.1	843	0.112715164	0.151291585	0.412081061	1.594551875	0.039765334	0.481735828	0.116476618	0.213295403	0.383751488	0.132242894	0.324584495	0	0.360226522
NC_018463.1	6863	0.394234682	0.462898982	0.292413201	0.604787589	0.688197324	0.624029967	0.708955621	0.547504979	0.552249342	0.552006959	0.754029248	0.300735361	0.561937081
NC_018464.1	927	0.227060267	0.251817328	0.436747784	9.320269726	0.2826346	0.990583856	0.708005631	0.751003008	0.674078346	0.543242181	0.745471668	14.57618248	1.357355854
NC_018465.1	6966	0.819717738	0.763752601	0.447023137	0.694502376	1.210029151	0.69367665	0.852411467	0.87711958	0.542617193	0.96724931	0.899713521	1.441186672	0.797073884
NC_018466.1	4330	0.787912011	0.74832763	0.61526858	1.080533695	1.608673305	1.113542871	0.938096195	1.172846209	1.088434341	0.947502119	1.301448347	1.81261116	1.036598664
NC_018467.1	4314	0.380013079	0.391318965	0.790476255	0.453077227	0.38321108	0.533364288	0.512715389	0.332639395	0.465721098	0.428614499	0.511120983	0.032242018	0.47111566
NC_018476.1	6895	0.612375118	0.569492285	0.672727422	0.937603308	0.945621948	0.823327979	0.700418744	0.873948377	0.735384496	0.693287615	0.934758607	0.389954948	0.772631445
NC_018477.1	860	0.240554134	0.204924932	0.51436362	1.351737956	0.749838158	0.593321926	0.456696692	0.205058347	0.30885184	0.429115997	0.575954277	1.139970606	0.511856171
NC_018478.1	4417	0.631611178	0.481242193	0.265363308	0.613750147	0.614737672	0.667167009	0.636479214	0.624453021	0.496877767	0.498688261	0.730037935	0	0.569127973
NC_021298.1	51252	0.699328116	0.51383031	0.412066224	0.314168314	0.453233122	0.397338806	0.499828282	0.482707797	0.302311467	0.58738411	0.465489742	0.399466454	0.466153299
NC_021304.1	51552	0.633092453	0.527408337	0.410710549	0.312385244	0.426707113	0.392338912	0.416823015	0.452912265	0.316372481	0.511485158	0.424561268	0.483480773	0.43861789
NC_021339.1	51077	0.97690825	0.805483877	0.534725142	0.409749717	0.550969461	0.525202164	0.556379428	0.590355252	0.357216384	0.755180276	0.534576275	0.531591857	0.599704202
NC_022744.1	39860	0.161254553	0.173247532	0.186434412	0.139412655	0.147063976	0.165385124	0.171268797	0.174482744	0.159927295	0.172076013	0.161168825	0.164879581	0.164701993
NC_022745.1	9359	0.48578621	0.327470473	0.335794807	0.352554647	0.424633213	0.34641924	0.264495807	0.349762597	0.244872299	0.330855242	0.491792661	0.145742025	0.35949429
NC_022746.1	42957	0.324849159	0.28514878	0.167175522	0.165010221	0.235896387	0.166251948	0.180816376	0.204190337	0.153510328	0.22365452	0.189790222	0.250261206	0.208753982
NC_022747.1	34145	0.28280698	0.33924778	0.604206496	0.388809217	0.305869741	0.333381593	0.236940161	0.275959352	0.409642018	0.302511906	0.272842964	0.457192589	0.341110746
