/scratch/users/karoraw1@jhu.edu/Processed_data_group/SERC_051717_Shotgun_Metagenomes/Virus_Coverage/viral_genomes.fasta /scratch/users/karoraw1@jhu.edu/Processed_data_group/SERC_051717_Shotgun_Metagenomes/CoAssembly/final.contigs.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[NAME R]	[NAME Q]
14610	15803	1194	1	1194	1194	98.74	69420	1194	1.72	100.00	HQ698895.1	k141_781041
4329	5992	160	1823	1664	1664	98.08	7349	100064	22.64	1.66	NC_001331.1	k141_2523821
4505	5696	335	1526	1192	1192	90.14	7349	39608	16.22	3.01	NC_001331.1	k141_2555454
644	9073	1	8388	8430	8388	94.73	48502	8391	17.38	99.96	NC_001416.1	k141_493118
7783	8842	1198	139	1060	1060	97.36	48502	1198	2.19	88.48	NC_001416.1	k141_128098
8841	13517	139	4803	4677	4665	96.03	48502	4803	9.64	97.13	NC_001416.1	k141_1248678
13448	14873	1	1427	1426	1427	97.76	48502	1427	2.94	100.00	NC_001416.1	k141_2502089
14733	18424	4297	606	3692	3692	96.18	48502	4297	7.61	85.92	NC_001416.1	k141_2033226
27724	29355	1688	61	1632	1628	97.61	48502	5556	3.36	29.30	NC_001416.1	k141_2393284
30380	31749	1055	2423	1370	1369	97.08	48502	2423	2.82	56.50	NC_001416.1	k141_1440080
40567	42304	24551	22814	1738	1738	98.27	48502	27453	3.58	6.33	NC_001416.1	k141_1599327
45510	48370	6472	9334	2861	2863	96.86	48502	9334	5.90	30.67	NC_001416.1	k141_373233
1	4779	4779	1	4779	4779	99.90	5386	5527	88.73	86.47	NC_001422.1	k141_68965
37096	38575	20857	19378	1480	1480	96.42	40751	27453	3.63	5.39	NC_002166.1	k141_1599327
28243	29267	1644	620	1025	1025	97.37	39732	3588	2.58	28.57	NC_002167.1	k141_270693
202	3477	19169	15894	3276	3276	94.45	56426	54365	5.81	6.03	NC_002484.2	k141_2490027
3553	7060	15732	12225	3508	3508	91.85	56426	54365	6.22	6.45	NC_002484.2	k141_2490027
7747	9013	12210	10944	1267	1267	89.66	56426	54365	2.25	2.33	NC_002484.2	k141_2490027
9633	13056	10339	6918	3424	3422	92.14	56426	54365	6.07	6.29	NC_002484.2	k141_2490027
24665	26658	2919	4912	1994	1994	93.88	56426	13679	3.53	14.58	NC_002484.2	k141_840989
53710	55104	22303	20908	1395	1396	94.91	56426	54365	2.47	2.57	NC_002484.2	k141_2490027
40944	42033	14508	13419	1090	1090	84.08	45636	51603	2.39	2.11	NC_002486.1	k141_1544075
11642	13162	86324	84804	1521	1521	83.67	40834	444891	3.72	0.34	NC_003216.1	k141_597702
39056	40322	99680	98415	1267	1266	93.14	40834	444891	3.10	0.28	NC_003216.1	k141_597702
2438	3872	3392	4823	1435	1432	80.76	35580	26877	4.03	5.33	NC_003278.1	k141_1295171
15643	16762	2403	1283	1120	1121	87.73	42575	3646	2.63	30.75	NC_003356.1	k141_1518994
420	2699	77595	79871	2280	2277	84.20	39325	156321	5.80	1.46	NC_004167.1	k141_341037
3010	5856	80182	83025	2847	2844	86.44	39325	156321	7.24	1.82	NC_004167.1	k141_341037
25713	27470	45488	47252	1758	1765	98.19	40149	74762	4.38	2.36	NC_004313.1	k141_2511612
30472	32454	51829	53811	1983	1983	96.72	40149	74762	4.94	2.65	NC_004313.1	k141_2511612
