	RefStart	RefEnd	QStart	QEnd	RefAlndLen	QAlndLen	PctIdentity	TotRefLen	TotQLen	PctRefCovd	PctQCovd	NameRef	NameQ	is_binned	bin_membership	bin_size
49	79381	80965	3	1594	1585	1592	86.05	196280	1598	0.81	99.62	NC_006820.1	k141_796263	True	bin.251.fa	6849688.0
50	79547	80965	10986	9568	1419	1419	86.3	196280	15582	0.72	9.11	NC_006820.1	k141_15937	True	bin.13.fa	1234222.0
51	103021	104681	13399	15052	1661	1654	83.47	196280	17211	0.85	9.61	NC_006820.1	k141_85515	True	bin.221.fa	341917.0
52	112184	113531	1	1351	1348	1351	82.82	196280	1356	0.69	99.63	NC_006820.1	k141_895392	True	bin.13.fa	1234222.0
53	135190	136324	1283	2416	1135	1134	82.56	196280	2419	0.58	46.88	NC_006820.1	k141_159279	True	bin.109.fa	279731.0
54	137820	138882	4573	5635	1063	1063	89.66	196280	8952	0.54	11.87	NC_006820.1	k141_149807	True	bin.109.fa	279731.0
55	137840	138859	1774	755	1020	1020	83.38	196280	2102	0.52	48.53	NC_006820.1	k141_584797	True	bin.236.fa	4305502.0
132	495	1532	1067	27	1038	1041	83.88	194454	2120	0.53	49.1	NC_013085.1	k141_1183095	True	bin.13.fa	1234222.0
133	1753	3570	1897	85	1818	1813	87.68	194454	1897	0.93	95.57	NC_013085.1	k141_2089163	True	bin.46.fa	1673023.0
134	7703	8770	1	1068	1068	1068	83.29	194454	5591	0.55	19.1	NC_013085.1	k141_1694416	True	bin.236.fa	4305502.0
135	11234	12905	1942	268	1672	1675	81.0	194454	1942	0.86	86.25	NC_013085.1	k141_847483	True	bin.172.fa	2510569.0
136	34040	35084	146	1181	1045	1036	82.0	194454	1200	0.54	86.33	NC_013085.1	k141_2339261	True	bin.46.fa	1673023.0
137	34361	35734	1	1374	1374	1374	90.43	194454	1434	0.71	95.82	NC_013085.1	k141_672053	True	bin.46.fa	1673023.0
138	35176	36296	4171	5294	1121	1124	80.28	194454	5295	0.58	21.23	NC_013085.1	k141_907957	True	bin.82.fa	2465221.0
139	35979	37344	1366	1	1366	1366	92.11	194454	1366	0.7	100.0	NC_013085.1	k141_1095621	True	bin.236.fa	4305502.0
140	42023	43127	1105	1	1105	1105	91.61	194454	1135	0.57	97.36	NC_013085.1	k141_2340286	True	bin.46.fa	1673023.0
141	42543	44373	1	1831	1831	1831	90.25	194454	1831	0.94	100.0	NC_013085.1	k141_880205	True	bin.172.fa	2510569.0
142	46906	47953	1045	1	1048	1045	87.25	194454	1045	0.54	100.0	NC_013085.1	k141_243037	True	bin.46.fa	1673023.0
143	47872	49934	2092	36	2063	2057	83.51	194454	4279	1.06	48.07	NC_013085.1	k141_415128	True	bin.13.fa	1234222.0
144	49230	50566	1337	1	1337	1337	95.89	194454	1337	0.69	100.0	NC_013085.1	k141_931864	True	bin.251.fa	6849688.0
145	51190	52744	4	1551	1555	1548	83.02	194454	2301	0.8	67.28	NC_013085.1	k141_232410	True	bin.13.fa	1234222.0
146	58637	59784	1226	82	1148	1145	79.62	194454	1232	0.59	92.94	NC_013085.1	k141_270491	False	Unbinned	0.0
147	60001	63660	10927	7268	3660	3660	82.49	194454	14736	1.88	24.84	NC_013085.1	k141_1186280	True	bin.13.fa	1234222.0
148	63831	66774	7096	4153	2944	2944	83.45	194454	14736	1.51	19.98	NC_013085.1	k141_1186280	True	bin.13.fa	1234222.0
149	64898	65951	1054	1	1054	1054	88.63	194454	1054	0.54	100.0	NC_013085.1	k141_1151479	True	bin.46.fa	1673023.0
150	67170	68303	1137	1	1134	1137	84.07	194454	1230	0.58	92.44	NC_013085.1	k141_1919425	True	bin.46.fa	1673023.0
151	67725	68770	3726	2687	1046	1040	86.5	194454	14736	0.54	7.06	NC_013085.1	k141_1186280	True	bin.13.fa	1234222.0
152	68894	69990	2506	1414	1097	1093	86.26	194454	14736	0.56	7.42	NC_013085.1	k141_1186280	True	bin.13.fa	1234222.0
153	70241	71381	1154	10	1141	1145	83.38	194454	14736	0.59	7.77	NC_013085.1	k141_1186280	True	bin.13.fa	1234222.0
154	70464	71861	1	1398	1398	1398	88.41	194454	1398	0.72	100.0	NC_013085.1	k141_2172369	True	bin.46.fa	1673023.0
155	72952	74898	1950	6	1947	1945	87.76	194454	1959	1.0	99.29	NC_013085.1	k141_1481169	True	bin.46.fa	1673023.0
156	72952	75411	10	2478	2460	2469	86.54	194454	2483	1.27	99.44	NC_013085.1	k141_1487713	True	bin.251.fa	6849688.0
157	76415	77601	1211	25	1187	1187	90.33	194454	1214	0.61	97.78	NC_013085.1	k141_822417	True	bin.46.fa	1673023.0
